calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
2400,-0.0029170776749641043,0.009985227449048308,-0.0029170776749641043,-0.0029170776749641043,0.009985227449048308,0.009985227449048308,-0.016904613121859296,-0.05892373963592357,-2.6547497380264257E-10,-0.016720523706599922,-0.01633987434143835,-0.05828206646089857,-0.056955252062741366,-2.62583979945461E-10,-2.5660615131869466E-10,1.0889337861303798
2500,-0.0029202999449914335,0.009971790667982358,-0.0029202999449914335,-0.0029202999449914335,0.009971790667982358,0.009971790667982358,-0.01687129140658669,-0.058976433944548635,-2.6724782261094865E-10,-0.0166874835073118,-0.016308664593493772,-0.05833390254793961,-0.05700967738287535,-2.643362339437806E-10,-2.5833559490306155E-10,1.0892241525732662
2600,-0.002923530749388315,0.009958402360183694,-0.002923530749388315,-0.002923530749388315,0.009958402360183694,0.009958402360183694,-0.016838119476629887,-0.059029186267964835,-2.6903751233312393E-10,-0.016654591565622268,-0.016277593525242988,-0.05838579475032681,-0.05706415740364489,-2.6610512474140294E-10,-2.600814939506322E-10,1.0895143623113321
2700,-0.0029267701087115575,0.009945062244094681,-0.0029267701087115575,-0.0029267701087115575,0.009945062244094681,0.009945062244094681,-0.01680509651991798,-0.059081996887211156,-2.708442402865525E-10,-0.01662184707644176,-0.016246660400109234,-0.05843774333971068,-0.057118692418644645,-2.678908471749792E-10,-2.6184404165996894E-10,1.089804420022994
2800,-0.002930018043748955,0.00993177003933499,-0.002930018043748955,-0.002930018043748955,0.00993177003933499,0.00993177003933499,-0.01677222172903948,-0.05913486608375683,-2.7266820647688825E-10,-0.016589249239297502,-0.01621586448563883,-0.05848974858813193,-0.057173282722009236,-2.6969359873448194E-10,-2.6362343386600483E-10,1.0900943303761699
2900,-0.0029332745755181206,0.009918525466694101,-0.0029332745755181206,-0.0029332745755181206,0.009918525466694101,0.009918525466694101,-0.016739494301222662,-0.05918779413949788,-2.7450961368128655E-10,-0.016556797258314045,-0.016185205053485155,-0.058541810768018114,-0.05722792860840902,-2.7151357964542593E-10,-2.6541986912114173E-10,1.0903840980284254
3000,-0.0029365397252660804,0.009905328248123369,-0.0029365397252660804,-0.0029365397252660804,0.009905328248123369,0.009905328248123369,-0.01670691343831541,-0.05924078133675382,-2.7636866747882486E-10,-0.01652449034219326,-0.01615468137939213,-0.058593930152180035,-0.05728263037304606,-2.733509928988503E-10,-2.6723354872530936E-10,1.0906737276271194
3100,-0.002939813514468547,0.009892178106728985,-0.002939813514468547,-0.002939813514468547,0.009892178106728985,0.009892178106728985,-0.016674478346765477,-0.059293827958265044,-2.7824557627221715E-10,-0.016492327704194735,-0.016124292743178087,-0.0586461070138091,-0.05733738831165067,-2.7520604427268794E-10,-2.690646767476124E-10,1.0909632238095535
3200,-0.0029430959648292718,0.009879074766764018,-0.0029430959648292718,-0.0029430959648292718,0.009879074766764018,0.009879074766764018,-0.016642188237600317,-0.05934693428718931,-2.801405513643295E-10,-0.01646030856211578,-0.0160940384287192,-0.05869834162647365,-0.05739220272047716,-2.7707894240733637E-10,-2.7091346010097834E-10,1.091252591203116
3300,-0.0029463870982792163,0.00986601795362093,-0.0029463870982792163,-0.0029463870982792163,0.00986601795362093,0.00986601795362093,-0.01661004232640699,-0.05940010060709804,-2.8205380697510213E-10,-0.016428432138271495,-0.016063917723932973,-0.058750634264115156,-0.05744707389629945,-2.7896989882228277E-10,-2.727801085591944E-10,1.0915418344254273
