calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
5000,-4.192910951754984,2.4131747847189238,0.00975339042313791,8.680156704160321,4.615524391340407,-3.616252806767712,-6.37958405853262,4.024566153022032,-9.863089851251056,-0.057405060788601345,-3.7087917529491885,4.585007828237371,-4.190894124482292,8.678829543032883,2.2199956723195364,1.0964444011866052
5100,-4.1931197164301,2.413547366474065,0.009519487837233935,8.680124553515332,4.615520892972998,-3.6148069100344715,-6.380032567891659,4.025363019024851,-9.865036006094716,-0.05885004475461903,-3.7091662321966083,4.584364304883443,-4.1910619438361065,8.678768650194941,2.2162772668368276,1.0967321886969585
5200,-4.193328992352894,2.4139198411711362,0.009285036937927198,8.680092358518468,4.615517391909355,-3.613361553350085,-6.380479356443792,4.0261602984019325,-9.866987119681319,-0.06029055524470246,-3.7095401073105916,4.583719577017584,-4.191230247138612,8.678707626798857,2.2125492870123984,1.0970199381136032
5300,-4.193538781446722,2.4142922117925423,0.009050035807270337,8.680060118778451,4.615513888159564,-3.6119167305676148,-6.380924428490787,4.026957990670268,-9.868943211386686,-0.06172660551808772,-3.709913378837703,4.583073641251467,-4.191399036094562,8.678646472387529,2.208811695341807,1.097307653890253
5400,-4.193749085638195,2.4146644813526166,0.008814482522973715,8.68002783390445,4.615510381733955,-3.610472435508625,-6.381367788330636,4.027756095344667,-9.87090430065133,-0.06315820880090527,-3.7102860473285837,4.582426494181655,-4.1915683124170915,8.678585186502852,2.205064454193648,1.0975953404740177
5500,-4.193959906857128,2.4150366528976788,0.008578375158475622,8.679995503506069,4.6155068726431026,-3.6090286619632965,-6.38180944025734,4.028554611937718,-9.872870406980137,-0.06458537828592818,-3.7106581133378698,4.5817781323894975,-4.191738077827789,8.678523768685737,2.201307525810199,1.0978830023055604
5600,-4.194171247036457,2.4154087295060993,0.008341711783014646,8.679963127193343,4.6155033608978275,-3.60758540369054,-6.382249388560706,4.029353539959722,-9.874841549941973,-0.06600812713232582,-3.7110295774241044,4.581128552441005,-4.19190833405675,8.678462218476133,2.197540872308098,1.0981706438192456
5700,-4.19438310811217,2.415780714288359,0.00810449046170409,8.679930704576703,4.615499846509207,-3.6061426544181057,-6.3826876375261525,4.030152878918641,-9.876817749169321,-0.0674264684654231,-3.7114004401496605,4.5804777508867245,-4.192079082842666,8.678400535413033,2.193764455679054,1.0984582694432992
5800,-4.194595492023237,2.416152610387119,0.007866709255608574,8.67989823526698,4.615496329488569,-3.6047004078426887,-6.383124191434514,4.030952628320056,-9.878799024357871,-0.068840415376465,-3.711770702080652,4.579825724261632,-4.1922503259328785,8.678338719034496,2.1899782377905868,1.0987458835999595
5900,-4.194808400711526,2.4165244209772943,0.007628366221822829,8.679865718875371,4.615492809847508,-3.60325865763003,-6.383559054561846,4.031752787667098,-9.880785395266116,-0.0702499809223865,-3.7121403637868595,4.579172469085008,-4.192422065083461,8.678276768877684,2.186182180386798,1.0990334907056316
6000,-4.1950218361217315,2.4168961492661247,0.007389459413552726,8.67983315501343,4.615489287597874,-3.6018173974150156,-6.383992231179235,4.032553356460402,-9.882776881714916,-0.07165517812558778,-3.7125094258416462,4.578517981860311,-4.192594302059283,8.678214684478844,2.1823762450891806,1.0993210951710453
6100,-4.1952358002012975,2.4172677984932567,0.007149986880198585,8.679800543293059,4.615485762751783,-3.6003766208017765,-6.384423725552622,4.033354334198045,-9.884773503587054,-0.07305601997371465,-3.7128778888218763,4.577862259075057,-4.192767038634089,8.67815246537335,2.178560393397452,1.0996087014014078
6200,-4.195450294900325,2.4176393719308162,0.0069099466674408146,8.679767883326484,4.615482235321625,-3.5989363213637726,-6.384853541942611,4.0341557203754945,-9.886775280826765,-0.07445251941944382,-3.713245753307837,4.577205297200699,-4.192940276590565,8.678090111095726,2.174734586690432,1.0998963137965607
6300,-4.195665322171497,2.4180108728835066,0.006669336817327922,8.679735174726254,4.615478705320066,-3.597496492643888,-6.385281684604284,4.034957514485549,-9.888782233439244,-0.07584468938027362,-3.7136130198831636,4.576547092692498,-4.193114017720416,8.678027621179655,2.1708987862269473,1.1001839367511357
