in1,in2,out1,targ1,cost
0,1,0.9999954246646399,1,2.093369365770362E-11
1,0,0.9999980309506861,1,3.877155200697579E-12
1,1,0.9999978882592384,0,0.9999957765229363
0,0,0.9999997439851931,0,0.9999994879704517
0,1,0.9999997771163346,1,4.9677128307839396E-14
1,0,0.9999999040795163,1,9.200739186915518E-15
1,1,0.9999998971284225,0,0.9999997942568556
0,0,0.9999999874907318,0,0.9999999749814638
0,1,0.9999999891095694,1,1.1860147772453168E-16
1,0,0.9999999953131815,1,2.196626754755522E-17
1,1,0.9999999949735405,0,0.9999999899470811
0,0,0.9999999993869304,0,0.9999999987738608
0,1,0.9999999994662686,1,2.84869199250172E-19
1,0,0.9999999997703027,1,5.2760831808050303E-20
1,1,0.999999999753657,0,0.9999999995073141
0,0,0.9999999999698631,0,0.9999999999397262
0,1,0.9999999999737633,1,6.883633509568964E-22
1,0,0.9999999999887088,1,1.2749097624645372E-22
1,1,0.9999999999878904,0,0.9999999999757807
0,0,0.9999999999985141,0,0.9999999999970282
0,1,0.9999999999987065,1,1.673196179012677E-24
1,0,0.9999999999994433,1,3.0987684021865094E-25
1,1,0.9999999999994028,0,0.9999999999988056
0,0,0.9999999999999265,0,0.999999999999853
0,1,0.999999999999936,1,4.089454932665725E-27
1,0,0.9999999999999725,1,7.5809532991739235E-28
1,1,0.9999999999999706,0,0.9999999999999412
0,0,0.9999999999999964,0,0.9999999999999929
0,1,0.9999999999999968,1,1.0366125332669858E-29
1,0,0.9999999999999984,1,2.4158865222393487E-30
1,1,0.9999999999999983,0,0.9999999999999967
0,0,0.9999999999999997,0,0.9999999999999993
0,1,0.9999999999999998,1,4.930380657631324E-32
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
0,0,1,0,1
0,1,1,1,0
1,0,1,1,0
1,1,1,0,1
